-66.557, -35.024, 84.463
-65.073, -36.363, 85.608
-63.473, -37.56, 86.738
-61.776, -38.618, 87.809
-60.003, -39.542, 88.795
-58.165, -40.328, 90.461
-56.278, -40.99, 91.138
-54.356, -41.542, 91.716
-52.408, -41.99, 92.202
-50.439, -42.338, 92.602
-48.455, -42.593, 92.922
-46.463, -42.757, 93.169
-44.464, -42.834, 93.345
-42.464, -42.827, 93.456
-40.467, -42.735, 93.483
-38.475, -42.557, 93.4
-36.492, -42.298, 93.25
-34.522, -41.955, 93.029
-32.568, -41.528, 92.732
-30.636, -41.014, 92.353
-28.73, -40.41, 91.882
-26.856, -39.713, 91.31
-25.021, -38.917, 90.628
-23.235, -38.018, 89.825
-21.518, -36.994, 87.828
-19.878, -35.851, 86.633
-18.331, -34.585, 85.324
-16.899, -33.19, 83.937
-15.632, -31.644, 81.194
-14.541, -29.97, 80.038
-13.651, -28.181, 79.191
-13.031, -26.282, 78.861
-12.658, -24.32, 79.481
-12.532, -22.326, 80.583
-13.224, -20.519, 86.08
-14.371, -18.881, 83.078
-15.664, -17.357, 79.964
-17.113, -15.981, 76.726
-18.729, -14.807, 73.344
-20.512, -13.906, 71.1
-22.427, -13.338, 71.161
-24.413, -13.13, 73.179
-26.405, -13.268, 76.236
-28.353, -13.711, 79.46
-30.226, -14.407, 82.318
-32.007, -15.316, 80.379
-33.692, -16.391, 77.155
-35.28, -17.606, 73.791
-36.763, -18.947, 70.266
-38.129, -20.406, 66.554
-39.327, -22.006, 62.625
-39.89, -23.867, 100
-39.828, -25.866, 100
-39.766, -27.865, 97.756
-39.704, -29.864, 95.122
-39.642, -31.863, 92.414
-39.58, -33.862, 89.623
-39.518, -35.862, 86.743
-39.456, -37.861, 83.763
-39.394, -39.86, 80.674
-39.332, -41.859, 77.461
-39.27, -43.858, 74.11
-39.208, -45.857, 70.599
-39.253, -47.854, 66.909
-39.674, -49.804, 65.335
-40.524, -51.61, 67.966
-41.716, -53.212, 72.18
-43.18, -54.57, 70.472
-44.821, -55.712, 66.773
-46.582, -56.658, 62.857
-48.425, -57.432, 58.678
-50.322, -58.063, 54.178
-52.259, -58.559, 49.269
-54.224, -58.932, 43.812
-56.209, -59.174, 37.571
-58.206, -59.258, 30.063
-60.167, -58.958, 20
-60.298, -58.81, 0
-60.298, -58.81, 0
-73.526, -43.81, 0
endData
127
100
200
-66.557, -35.024, -52.071, -49.689, -11.474, -42.893, -12.547, -21.611
-12.547, -21.611, -23.278, -3.191, -39.195, -20.002, -39.91, -23.221
-39.91, -23.221, -39.552, -34.756, -39.552, -34.756, -39.195, -46.291
-39.195, -46.291, -38.658, -58.81, -59.94, -60.241, -60.298, -58.81
